Model,Model Year,All-Electric Range,Alternative Fuel Economy Combined,Conventional Fuel Economy Combined,Transmission Type,Engine Size,Manufacturer ID,Category ID,Fuel ID
Ioniq 5 AWD (Long Range),2022,256.0,98.0,,Automatic,74 kW and 165 kW electric motors,351,29,41
Ioniq 5 RWD,2022,220.0,110.0,,Automatic,125 kW electric motor,351,29,41
Ioniq 5 RWD (Long Range),2022,303.0,114.0,,Automatic,168 kW electric motor,351,29,41
Ioniq Blue,2022,,,59.0,Automatic,1.6L,351,27,45
Ioniq Plug-in Hybrid,2022,29.0,119.0,52.0,Automatic,1.6L,351,27,57
Kona Electric,2022,258.0,120.0,,Automatic,150 kW electric motor,351,29,41
Nexo,2022,,57.0,,Automatic,120 kW electric motor,351,29,9
Nexo Blue,2022,,61.0,,Automatic,120 kW electric motor,351,29,9
Santa Fe Hybrid,2022,,,32.0,Automatic,1.6L,351,27,45
Santa Fe Hybrid Blue,2022,,,34.0,Automatic,1.6L,351,27,45
Santa Fe Plug-in Hybrid,2022,31.0,76.0,33.0,Automatic,1.6L,351,27,57
Sonata Hybrid,2022,,,47.0,Automatic,2.0L,351,27,45
Sonata Hybrid Blue,2022,,,52.0,Automatic,2.0L,351,27,45
Tucson Hybrid,2022,,,37.0,Automatic,1.6L,351,27,45
Tucson Hybrid Blue,2022,,,38.0,Automatic,1.6L,351,27,45
Tucson Plug-in Hybrid,2022,33.0,80.0,35.0,Automatic,1.6L,351,29,57
E-PACE MHEV,2022,,,23.0,Automatic,2.0L,385,29,45
F-PACE P340 MHEV,2022,,,22.0,Automatic,3.0L,385,29,45
F-PACE P400 MHEV,2022,,,22.0,Automatic,3.0L,385,29,45
Grand Cherokee 4xe,2022,26.0,56.0,23.0,Automatic,2.0L,275,29,57
Wagoneer 4x2,2022,,,18.0,Automatic,5.7L,275,29,45
Wagoneer 4x4,2022,,,17.0,Automatic,5.7L,275,29,45
Wrangler 2dr 4x4,2022,,,21.0,Automatic,3.6L,275,29,45
Wrangler 4dr 4x4,2022,,,21.0,Automatic,3.6L,275,29,45
Wrangler 4dr 4xe,2022,22.0,49.0,20.0,Automatic,2.0L,275,29,57
EV6 AWD (Long Range) ,2022,274.0,105.0,,Automatic,74 kW and 165 kW electric motors,361,27,41
EV6 RWD,2022,232.0,117.0,,Automatic,125 kW electric motor,361,27,41
EV6 RWD (Long Range) ,2022,310.0,117.0,,Automatic,168 kW electric motor,361,27,41
Niro,2022,,,49.0,Automatic,1.6L,361,27,45
Niro Electric,2022,239.0,112.0,,Automatic,150 kW electric motor,361,27,41
Niro FE,2022,,,50.0,Automatic,1.6L,361,27,45
Niro Plug-in Hybrid,2022,26.0,105.0,46.0,Automatic,1.6L,361,27,57
Niro Touring,2022,,,43.0,Automatic,1.6L,361,27,45
Sorento Hybrid AWD,2022,,,35.0,Automatic,1.6L,361,29,45
Sorento Hybrid FWD,2022,,,37.0,Automatic,1.6L,361,29,45
Sorento Plug-in Hybrid,2022,32.0,79.0,34.0,Automatic,1.6L,361,29,57
Defender 110 MHEV,2022,,,19.0,Automatic,3.0L,387,29,45
Defender 90 MHEV,2022,,,19.0,Automatic,3.0L,387,29,45
Discovery MHEV,2022,,,21.0,Automatic,3.0L,387,29,45
New Range Rover P360 LWB MHEV,2022,,,21.0,Automatic,3.0L,387,29,45
New Range Rover P360 MHEV,2022,,,21.0,Automatic,3.0L,387,29,45
New Range Rover P400 LWB MHEV,2022,,,21.0,Automatic,3.0L,387,29,45
New Range Rover P400 MHEV,2022,,,21.0,Automatic,3.0L,387,29,45
Range Rover Evoque MHEV,2022,,,23.0,Automatic,2.0L,387,29,45
Range Rover P360 MHEV,2022,,,20.0,Automatic,3.0L,387,29,45
Range Rover P400 MHEV,2022,,,20.0,Automatic,3.0L,387,29,45
Range Rover Sport P360 MHEV,2022,,,21.0,Automatic,3.0L,387,29,45
