Model_year,Make,Model,Vehicle Class,Motor(kw),Transmission,Fuel_type,Consumption_city(kwh/100km),Consumption_Hwy(kwh/100km),Consumption_comb(kwh/100km),Consumption_city(Le/100km),Consumption_Hwy(Le/100km),Consumption_comb(Le/100km),Range(km),CO2_Emissions(g/km),CO2 ,Smog_rating,Recharge_time(h)
2020,Tesla,Model X Long Range Plus,SUV: Standard,398.0,A1,B,19.3,20.8,20.0,2.2,2.3,2.2,565.0,0.0,10.0,10.0,12.0
2020,Tesla,"Model X Performance (20"" Wheels)",SUV: Standard,580.0,A1,B,23.2,23.5,23.3,2.6,2.6,2.6,491.0,0.0,10.0,10.0,12.0
2020,Tesla,"Model X Performance (22"" Wheels)",SUV: Standard,580.0,A1,B,26.2,27.1,26.6,2.9,3.0,3.0,438.0,0.0,10.0,10.0,12.0
2020,Tesla,Model Y Long Range AWD,SUV: Small,358.0,A1,B,16.5,18.3,17.3,1.9,2.1,1.9,509.0,0.0,10.0,10.0,10.0
2020,Tesla,Model Y Performance,SUV: Small,358.0,A1,B,16.3,18.7,17.4,1.8,2.1,2.0,507.0,0.0,10.0,10.0,10.0
2020,Tesla,"Model Y Performance (21"" Wheels)",SUV: Small,358.0,A1,B,18.1,19.8,18.9,2.0,2.2,2.1,468.0,0.0,10.0,10.0,10.0
2020,Volkswagen,e-Golf,Compact,100.0,A1,B,17.4,19.9,18.6,1.9,2.3,2.1,198.0,0.0,10.0,10.0,5.3
2021,Audi,e-tron 55 quattro,SUV: Standard,300.0,A1,B,26.9,27.0,27.0,3.0,3.0,3.0,357.0,0.0,10.0,10.0,10.0
2021,Audi,e-tron Sportback 55 quattro,SUV: Standard,300.0,A1,B,27.6,27.0,27.3,3.1,3.0,3.1,351.0,0.0,10.0,10.0,10.0
2021,BMW,i3 (120 Ah),Subcompact,125.0,A1,B,16.8,20.6,18.5,1.9,2.3,2.1,246.0,0.0,10.0,10.0,7.0
2021,BMW,i3s (120 Ah),Subcompact,135.0,A1,B,16.8,20.6,18.5,1.9,2.3,2.1,246.0,0.0,10.0,10.0,7.0
2021,Chevrolet,Bolt EV,Station wagon: Small,150.0,A1,B,16.5,19.5,17.8,1.9,2.2,2.0,417.0,0.0,10.0,10.0,10.0
2021,Ford,Mustang Mach-E Standard Range,Station wagon: Small,198.0,A1,B,19.9,22.4,21.0,2.2,2.5,2.4,370.0,0.0,10.0,10.0,8.8
2021,Ford,Mustang Mach-E Standard Range AWD,Station wagon: Small,198.0,A1,B,21.0,24.5,22.6,2.4,2.7,2.5,340.0,0.0,10.0,10.0,8.5
2021,Ford,"Mustang Mach-E Extended Range (19"" Wheels)",Station wagon: Small,216.0,A1,B,20.2,23.2,21.5,2.3,2.6,2.4,483.0,0.0,10.0,10.0,10.9
2021,Ford,Mustang Mach-E Extended Range AWD,Station wagon: Small,258.0,A1,B,21.8,25.0,23.2,2.4,2.8,2.6,435.0,0.0,10.0,10.0,10.7
2021,Ford,Mustang Mach-E California Route 1,Station wagon: Small,216.0,A1,B,19.4,22.3,20.7,2.2,2.5,2.3,491.0,0.0,10.0,10.0,11.4
2021,Ford,Mustang Mach-E GT Performance Edition,Station wagon: Small,358.0,A1,B,23.8,27.8,25.6,2.7,3.1,2.9,418.0,0.0,10.0,10.0,10.1
2021,Hyundai,IONIQ Electric,Mid-size,100.0,A1,B,14.5,17.4,15.8,1.6,1.9,1.8,274.0,0.0,10.0,10.0,5.8
2021,Hyundai,Kona Electric,SUV: Small,150.0,A1,B,16.2,19.3,17.4,1.8,2.2,2.0,415.0,0.0,10.0,10.0,9.0
2021,Kia,Niro EV,Station wagon: Small,150.0,A1,B,17.0,20.6,18.6,1.9,2.3,2.1,385.0,0.0,10.0,10.0,9.5
2021,Kia,Soul EV (120 Ah),Station wagon: Small,150.0,A1,B,15.6,20.4,17.8,1.8,2.3,2.0,248.0,0.0,10.0,10.0,6.0
2021,Kia,Soul EV (180 Ah),Station wagon: Small,150.0,A1,B,16.9,21.0,18.7,1.9,2.4,2.1,383.0,0.0,10.0,10.0,9.5
2021,MINI,Cooper SE 3 Door,Subcompact,135.0,A1,B,18.2,20.9,19.4,2.0,2.3,2.2,177.0,0.0,10.0,10.0,4.0
2021,Nissan,LEAF (40 kWh),Mid-size,110.0,A1,B,17.0,21.2,18.9,1.9,2.4,2.1,240.0,0.0,10.0,10.0,8.0
2021,Nissan,LEAF S PLUS,Mid-size,160.0,A1,B,17.8,21.5,19.5,2.0,2.4,2.2,363.0,0.0,10.0,10.0,11.0
2021,Nissan,LEAF SV/SL PLUS,Mid-size,160.0,A1,B,18.3,22.1,20.0,2.1,2.5,2.2,349.0,0.0,10.0,10.0,11.0
2021,Polestar,2,Mid-size,300.0,A1,B,21.9,23.9,22.8,2.5,2.7,2.6,375.0,0.0,10.0,10.0,8.0
2021,Porsche,Taycan 4 Cross Turismo,Mid-size,280.0,A2,B,27.5,27.2,27.4,3.1,3.1,3.1,346.0,0.0,10.0,10.0,10.5
2021,Porsche,Taycan 4S (Performance Battery),Compact,320.0,A2,B,26.6,26.1,26.4,3.0,2.9,3.0,320.0,0.0,10.0,10.0,9.5
2021,Porsche,Taycan 4S (Performance Battery Plus),Compact,360.0,A2,B,28.0,25.8,27.3,3.1,2.9,3.0,365.0,0.0,10.0,10.0,10.5
2021,Porsche,Taycan 4S Cross Turismo,Mid-size,360.0,A2,B,28.0,28.0,28.0,3.1,3.1,3.1,346.0,0.0,10.0,10.0,10.5
2021,Porsche,Taycan Turbo,Compact,460.0,A2,B,29.2,28.0,28.6,3.3,3.1,3.2,341.0,0.0,10.0,10.0,10.5
2021,Porsche,Taycan Turbo Cross Turismo,Mid-size,460.0,A2,B,29.1,29.2,29.1,3.3,3.3,3.3,328.0,0.0,10.0,10.0,10.5
2021,Porsche,Taycan Turbo S,Compact,460.0,A2,B,30.2,29.5,29.9,3.4,3.3,3.4,323.0,0.0,10.0,10.0,10.5
2021,Porsche,Taycan Turbo S Cross Turismo,Mid-size,460.0,A2,B,28.5,28.7,28.6,3.2,3.2,3.2,325.0,0.0,10.0,10.0,10.5
2021,Tesla,Model 3 Standard Range,Mid-size,191.0,A1,B,14.5,16.0,15.2,1.6,1.8,1.7,151.0,0.0,10.0,10.0,3.7
2021,Tesla,Model 3 Standard Range Plus,Mid-size,191.0,A1,B,13.9,15.7,14.8,1.6,1.8,1.7,423.0,0.0,10.0,10.0,8.5
2021,Tesla,Model 3 Long Range AWD,Mid-size,293.0,A1,B,14.9,16.5,15.6,1.7,1.9,1.8,568.0,0.0,10.0,10.0,10.0
2021,Tesla,Model 3 Performance,Mid-size,321.0,A1,B,17.8,19.6,18.6,2.0,2.2,2.1,507.0,0.0,10.0,10.0,10.0
2021,Tesla,Model S Long Range,Full-size,494.0,A1,B,16.9,18.3,17.5,1.9,2.1,2.0,652.0,0.0,10.0,10.0,15.0
2021,Tesla,Model S Long Range Plus,Full-size,398.0,A1,B,18.1,19.3,18.6,2.0,2.2,2.1,629.0,0.0,10.0,10.0,12.0
2021,Tesla,"Model S Performance (19"" Wheels)",Full-size,580.0,A1,B,18.4,19.7,19.0,2.1,2.2,2.1,623.0,0.0,10.0,10.0,12.0
2021,Tesla,"Model S Performance (21"" Wheels)",Full-size,580.0,A1,B,21.3,22.6,21.9,2.4,2.5,2.5,538.0,0.0,10.0,10.0,12.0
2021,Tesla,"Model S Plaid (19"" Wheels)",Full-size,750.0,A1,B,17.6,18.7,18.1,2.0,2.1,2.0,637.0,0.0,10.0,10.0,15.0
2021,Tesla,"Model S Plaid (21"" Wheels)",Full-size,750.0,A1,B,20.4,21.2,20.8,2.3,2.4,2.3,560.0,0.0,10.0,10.0,15.0
2021,Tesla,Model X Long Range,SUV: Standard,494.0,A1,B,19.7,21.7,20.6,2.2,2.4,2.3,560.0,0.0,10.0,10.0,14.0
2021,Tesla,Model X Long Range Plus,SUV: Standard,398.0,A1,B,19.3,20.7,19.9,2.2,2.3,2.2,597.0,0.0,10.0,10.0,12.0
2021,Tesla,"Model X Performance (20"" Wheels)",SUV: Standard,580.0,A1,B,21.0,22.1,21.5,2.4,2.5,2.4,549.0,0.0,10.0,10.0,12.0
2021,Tesla,"Model X Performance (22"" Wheels)",SUV: Standard,580.0,A1,B,23.7,25.3,24.4,2.7,2.8,2.7,483.0,0.0,10.0,10.0,12.0
2021,Tesla,Model Y Standard Range,SUV: Small,211.0,A1,B,15.0,17.6,16.2,1.7,2.0,1.8,393.0,0.0,10.0,10.0,8.0
2021,Tesla,Model Y Long Range AWD,SUV: Small,270.0,A1,B,15.9,17.9,16.8,1.8,2.0,1.9,525.0,0.0,10.0,10.0,10.0
2021,Tesla,Model Y Performance,SUV: Small,312.0,A1,B,18.2,19.8,18.9,2.0,2.2,2.1,488.0,0.0,10.0,10.0,10.0
2021,Volkswagen,ID.4 Pro,SUV: Small,150.0,A1,B,20.2,23.4,21.7,2.3,2.6,2.4,400.0,0.0,10.0,10.0,7.5
2021,Volkswagen,ID.4 AWD Pro,SUV: Small,220.0,A1,B,21.5,23.9,22.5,2.4,2.7,2.5,386.0,0.0,10.0,10.0,7.5
2021,Volvo,XC40 Recharge,SUV: Small,300.0,A1,B,24.5,29.2,26.6,2.8,3.3,3.0,335.0,0.0,10.0,10.0,8.0
2022,Audi,e-tron 55 quattro,SUV: Standard,300.0,A1,B,26.9,27.0,27.0,3.0,3.0,3.0,357.0,0.0,10.0,10.0,10.0
2022,Audi,e-tron Sportback 55 quattro,SUV: Standard,300.0,A1,B,27.6,27.0,27.3,3.1,3.0,3.1,351.0,0.0,10.0,10.0,10.0
2022,Audi,"e-tron S Sportback quattro (20"" Wheels)",SUV: Standard,370.0,A1,B,28.6,27.0,27.9,3.2,3.0,3.1,341.0,0.0,10.0,10.0,10.0
2022,Audi,"e-tron S Sportback quattro (21"" or 22"" Wheels)",SUV: Standard,370.0,A1,B,32.9,31.7,32.4,3.7,3.6,3.6,298.0,0.0,10.0,10.0,10.0
2022,Audi,e-tron GT,Mid-size,390.0,A2,B,25.9,25.3,25.6,2.9,2.8,2.9,383.0,0.0,10.0,10.0,10.5
2022,Audi,RS e-tron GT,Mid-size,475.0,A2,B,26.4,25.5,26.0,3.0,2.9,2.9,373.0,0.0,10.0,10.0,10.5
2022,Audi,Q4 50 e-tron quattro,SUV: Small,220.0,A1,B,21.0,23.6,22.1,2.4,2.6,2.5,388.0,0.0,10.0,10.0,9.0
2022,Audi,Q4 50 e-tron Sportback quattro,SUV: Small,220.0,A1,B,21.0,23.6,22.1,2.4,2.6,2.5,388.0,0.0,10.0,10.0,9.0
2022,BMW,"i4 eDrive40 (18"" Wheels)",Subcompact,250.0,A1,B,19.1,19.3,19.2,2.1,2.2,2.2,484.0,0.0,10.0,10.0,10.0
2022,BMW,"i4 eDrive40 (19"" Wheels)",Subcompact,250.0,A1,B,20.9,21.3,21.1,2.4,2.4,2.4,454.0,0.0,10.0,10.0,10.0
2022,BMW,"i4 M50 xDrive (19"" Wheels)",Subcompact,400.0,A1,B,22.3,21.4,21.9,2.5,2.4,2.5,435.0,0.0,10.0,10.0,10.0
2022,BMW,"i4 M50 xDrive (20"" Wheels)",Subcompact,400.0,A1,B,26.4,26.1,26.3,3.0,2.9,3.0,365.0,0.0,10.0,10.0,10.0
2022,BMW,"iX xDrive50 (20"" Wheels)",SUV: Standard,400.0,A1,B,24.3,24.2,24.2,2.7,2.7,2.7,521.0,0.0,10.0,10.0,12.0
2022,BMW,"iX xDrive50 (21"" Wheels)",SUV: Standard,400.0,A1,B,25.4,25.1,25.3,2.9,2.8,2.8,491.0,0.0,10.0,10.0,12.0
